Filename,Description,FXName,TrackTitle,Duration,Channels,SampleRate,BitDepth,Source,Category,SubCategory,Location,Microphone,RecType,RecMedium,Designer,Composer,Manufacturer,Publisher,Library,CDTitle,URL,BWDescription,BWOriginator,Keywords
SW014_Insects_Bee_Walking_On_Mic_Grill.wav,"Bee,Single,Walk,Microphone,Fast,Frantic - some metal rattle",Bee walking on microphone fast and frantically,Bee walking on microphone fast and frantically,00:13.992,1,96000,24,SW014_Insects_Bee_Walking_On_Mic_Grill.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Walk,Microphone,Fast,Frantic - some metal rattle",Shaping Waves,Insect Bee Single Walk Microphone Fast Frantic
SW014_Insects_Bee_Buzz_Short_02.wav,"Bee,Single,Wing Buzz,Brisk,Fast,Sharp Quick Swell",Bee wing buzz brisk and fast with sharp quick swell,Bee wing buzz brisk and fast with sharp quick swell,00:01.072,1,96000,24,SW014_Insects_Bee_Buzz_Short_02.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Brisk,Fast,Sharp Quick Swell",Shaping Waves,Insect Bee Single Wing Buzz Brisk Fast Sharp Quick Swell
SW014_Insects_Bee_Buzz_Short.wav,"Bee,Single,Wing Buzz,Brisk,Fast,Strong Surge",Bee wing buzz brisk and fast with strong surge,Bee wing buzz brisk and fast with strong surge,00:00.884,1,96000,24,SW014_Insects_Bee_Buzz_Short.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Brisk,Fast,Strong Surge",Shaping Waves,Insect Bee Single Wing Buzz Brisk Fast Strong Surge
SW014_Insects_Bee_Buzz_Short_Landing.wav,"Bee,Single,Wing Buzz,Brisk,Fast,Waver,Quickly",Bee wing buzz brisk and fast and wavering quickly,Bee wing buzz brisk and fast and wavering quickly,00:01.842,1,96000,24,SW014_Insects_Bee_Buzz_Short_Landing.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Brisk,Fast,Waver,Quickly",Shaping Waves,Insect Bee Single Wing Buzz Brisk Fast Waver Quickly
SW014_Insects_Bee_Passby_LR.wav,"Bee,Single,Wing Buzz,By,Fast,Whip By","Bee wing buzz passing by quickly, whipping by","Bee wing buzz passing by quickly, whipping by",00:01.029,2,96000,24,SW014_Insects_Bee_Passby_LR.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,By,Fast,Whip By",Shaping Waves,Insect Bee Single Wing Buzz By Fast Whip By
SW014_Insects_Bee2_Buzz_On_Window_Slow_Closeup_01.wav,"Bee,Single,Wing Buzz,Deep,Sputter Out",Bee wing buzz deep and sputtering out,Bee wing buzz deep and sputtering out,00:01.912,2,96000,24,SW014_Insects_Bee2_Buzz_On_Window_Slow_Closeup_01.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Deep,Sputter Out",Shaping Waves,Insect Bee Single Wing Buzz Deep Sputter Out
SW014_Insects_Bee_Buzz_Medium_Closeup.wav,"Bee,Single,Wing Buzz,Muffled,Waver",Bee wing buzz brisk muffled and wavering,Bee wing buzz brisk muffled and wavering,00:01.787,2,96000,24,SW014_Insects_Bee_Buzz_Medium_Closeup.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Muffled,Waver",Shaping Waves,Insect Bee Single Wing Buzz Muffled Waver
SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_01.wav,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone",00:19.892,2,96000,24,SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_01.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant",Shaping Waves,Insect Bee Single Wing Buzz Nasal High Pitched Aggressive Forceful Constant
SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_02.wav,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant to Sputter Out","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone sputting out","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone sputting out",00:20.986,2,96000,24,SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_02.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant to Sputter Out",Shaping Waves,Insect Bee Single Wing Buzz Nasal High Pitched Aggressive Forceful Constant to Sputter Out
SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_03.wav,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant,Grow at End","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone, growing at end","Bee wing buzz nasal and high pitched, constant aggressive and forceful tone, growing at end",00:30.381,2,96000,24,SW014_Insects_Bee2_Buzz_On_Window_Constant_Closeup_03.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Nasal,High Pitched,Aggressive,Forceful,Constant,Grow at End",Shaping Waves,Insect Bee Single Wing Buzz Nasal High Pitched Aggressive Forceful Constant Grow at End
SW014_Insects_Bee2_Buzz_On_Window_Varied_Closeup_01.wav,"Bee,Single,Wing Buzz,Nasal,High Pitched,Idle and Swell to Constant","Bee wing buzz nasal and high pitched, idle then swelling to constant tone","Bee wing buzz nasal and high pitched, idle then swelling to constant tone",00:12.144,2,96000,24,SW014_Insects_Bee2_Buzz_On_Window_Varied_Closeup_01.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Nasal,High Pitched,Idle and Swell to Constant",Shaping Waves,Insect Bee Single Wing Buzz Nasal High Pitched Idle and Swell to Constant
SW014_Insects_Bee_Buzz_Long_Closeup_01.wav,"Bee,Single,Wing Buzz,Strong Surges",Bee wing buzz with strong surges,Bee wing buzz with strong surges,00:04.243,1,96000,24,SW014_Insects_Bee_Buzz_Long_Closeup_01.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Strong Surges",Shaping Waves,Insect Bee Single Wing Buzz Strong Surges
SW014_Insects_Bee_Buzz_Long_Closeup_02.wav,"Bee,Single,Wing Buzz,Strong Surges,Desperate,Grow","Bee wing buzz with strong surges, growing desperately","Bee wing buzz with strong surges, growing desperately",00:02.695,2,96000,24,SW014_Insects_Bee_Buzz_Long_Closeup_02.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bee,Single,Wing Buzz,Strong Surges,Desperate,Grow",Shaping Waves,Insect Bee Single Wing Buzz Strong Surges Desperate Grow
SW014_Insects_Bees_At_Beehive_External_Agressive_Closeup_Passbys.wav,"Bees,Swarm,Beekeeper,Exterior POV,Mic at Entrance,Close,Deep Bed with Many Furious Passes",Bee swarm outside hive with deep bed and many furious passes,Bee swarm outside hive with deep bed and many furious passes,02:09.582,2,96000,24,SW014_Insects_Bees_At_Beehive_External_Agressive_Closeup_Passbys,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Beekeeper,Exterior POV,Mic at Entrance,Close,Deep Bed with Many Furious Passes",Shaping Waves,Insect Bees Swarm Beekeeper Exterior POV Mic at Entrance Close Deep Bed with Many Furious Passes
SW014_Insects_Bees_At_Beehive_External_Between_Racks_Busy.wav,"Bees,Swarm,Beekeeper,Exterior POV,Mic Between Beehive Racks,Constant Buzz,Busy","Bee swarm outside hive between racks with constant, buzy buzz","Bee swarm outside hive between racks with constant, buzy buzz",04:12.820,2,96000,16,SW014_Insects_Bees_At_Beehive_External_Between_Racks_Busy.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Beekeeper,Exterior POV,Mic Between Beehive Racks,Constant Buzz,Busy",Shaping Waves,Insect Bees Swarm Beekeeper Exterior POV Mic Between Beehive Racks Constant Buzz Busy
SW014_Insects_Bees_At_Beehive_External_Between_Racks_Calm.wav,"Bees,Swarm,Beekeeper,Exterior POV,Mic Between Beehive Racks,Constant Buzz,Calm","Bee swarm outside hive between racks with constant, calm buzz","Bee swarm outside hive between racks with constant, calm buzz",03:52.204,2,96000,24,SW014_Insects_Bees_At_Beehive_External_Between_Racks_Calm.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Beekeeper,Exterior POV,Mic Between Beehive Racks,Constant Buzz,Calm",Shaping Waves,Insect Bees Swarm Beekeeper Exterior POV Mic Between Beehive Racks Constant Buzz Calm
SW014_Insects_Bees_At_Beehive_External_Entrance_Busy.wav,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic at Entrance,Busy  ","Bee swarm outside hive, busy","Bee swarm outside hive, busy",02:55.841,2,96000,24,SW014_Insects_Bees_At_Beehive_External_Entrance_Busy.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic at Entrance,Busy  ",Shaping Waves,Insect Bees Swarm Big Beekeeper Exterior POV Mic at Entrance Busy  
SW014_Insects_Bees_At_Beehive_External_Garden_Birds.wav,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic in Front of Hives - BG birds throughout",Bee swarm outside hive in front of hives,Bee swarm outside hive in front of hives,06:53.895,2,96000,24,SW014_Insects_Bees_At_Beehive_External_Garden_Birds.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic in Front of Hives - BG birds throughout",Shaping Waves,Insect Bees Swarm Big Beekeeper Exterior POV Mic in Front of Hives
SW014_Insects_Bees_At_Beehive_External_Garden_Birds_Calm.wav,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic in Front of HIves,Calm - BG birds throughout, some movement at 4,14 and 5,46 and 7,06","Bee swarm outside hive in front of hives, calm","Bee swarm outside hive in front of hives, calm",09:07.909,2,96000,24,SW014_Insects_Bees_At_Beehive_External_Garden_Birds_Calm.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Exterior POV,Mic in Front of HIves,Calm - BG birds throughout, some movement at 4,14 and 5,46 and 7,06",Shaping Waves,Insect Bees Swarm Big Beekeeper Exterior POV Mic in Front of HIves Calm
SW014_Insects_Bees_At_Beehive_Internal_Low_Drone.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Drone,Buzz,Very Low - extreme close buzzing at 2,23 and 5,12",Bee swarm inside hive with very low drone,Bee swarm inside hive with very low drone,05:59.118,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Low_Drone.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Drone,Buzz,Very Low - extreme close buzzing at 2,23 and 5,12",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Drone Buzz Very Low
SW014_Insects_Bees_At_Beehive_Internal_Feeding_Busy_Then_Calming_Down.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Feed,Sugar Feeding,Buzz,Intense to Fade",Bee swarm inside hive feeding on sugar with intense buzz then fading,Bee swarm inside hive feeding on sugar with intense buzz then fading,03:26.480,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Feeding_Busy_Then_Calming,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Feed,Sugar Feeding,Buzz,Intense to Fade",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Feed Sugar Feeding Buzz Intense to Fade
SW014_Insects_Bees_At_Beehive_Internal_Drawer_Mic_On_Ground.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Insects Walking,Metal Clatter,Wing Buzz,Short,Sharp","Bee swarm inside hive with insects walking and short, sharp buzzes","Bee swarm inside hive with insects walking and short, sharp buzzes",01:46.974,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Drawer_Mic_On_Ground.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Insects Walking,Metal Clatter,Wing Buzz,Short,Sharp",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Insects Walking Metal Clatter Wing Buzz Short Sharp
SW014_Insects_Bees_At_Beehive_Internal_Drawer_01.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Close Bee and Steady Drone - close bee right side until 1,18, BG birds throughout",Bee swarm inside hive with close bee buzz and steady drone,Bee swarm inside hive with close bee buzz and steady drone,03:47.618,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Drawer_01.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Close Bee and Steady Drone - close bee right side until 1,18, BG birds throughout",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Mics in Beehive Upper Drawer Close Bee and Steady Drone
SW014_Insects_Bees_At_Beehive_Internal_Drawer_04.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Drone to Close Bee",Bee swarm inside hive with a low drone then a close bee,Bee swarm inside hive with a low drone then a close bee,01:42.094,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Drawer_04.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Drone to Close Bee",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Mics in Beehive Upper Drawer Drone to Close Bee
SW014_Insects_Bees_At_Beehive_Internal_Drawer_03.wav,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Drone,Low,Constant","Bee swarm inside hive with low, constant drone","Bee swarm inside hive with low, constant drone",03:12.721,2,96000,24,SW014_Insects_Bees_At_Beehive_Internal_Drawer_03.wav,Insect,Bees,Germany,,,,David Kamp,David Kamp,Shaping Waves,Shaping Waves,SW014 - Insects and Swarms,SW014 - Insects and Swarms,http://shapingwaves.com,"Bees,Swarm,Big,Beekeeper,Interior POV,Mics in Beehive Upper Drawer,Drone,Low,Constant",Shaping Waves,Insect Bees Swarm Big Beekeeper Interior POV Mics in Beehive Upper Drawer Drone Low Constant
